id,name,city,address,phone,email
1,Young America Station,Young America,"345 Sycamore Street, 55551",+1 214 316 3568,young.america.station@rentalco.com
2,Monroe North,Monroe,"101 Hoover Street, 71208",+1 407 584 8469,monroe.north@rentalco.com
3,Roanoke Station,Roanoke,"953 Mesa Drive, 24014",+1 407 217 0266,roanoke.station@rentalco.com
4,Vienna East,Vienna,"900 Cross Street, 22184",+1 917 319 3620,vienna.east@rentalco.com
5,Rohr South,Rohr,"835 Friedrich-Ebert-Straße, 98530",+49 872 515 2782,rohr.south@rentalco.com
6,Kiefersfelden East,Kiefersfelden,"897 Ludwigstraße, 83088",+49 957 915 5845,kiefersfelden.east@rentalco.com
7,La Chapelle-Vaupelteigne Airport,La Chapelle-Vaupelteigne,"379 Rue Racine, 89800",+33 705 243 4324,la.chapelle.vaupelteigne.airport@rentalco.com
8,Great Witley Station,Great Witley,"667 School Street, WR6",+44 449 385 2870,great.witley.station@rentalco.com
9,Stanton upon Hine Heath Station,Stanton upon Hine Heath,"155 Cheapside, SY4",+44 387 753 7822,stanton.upon.hine.heath.station@rentalco.com
10,Stratford East,Stratford,"101 Islington Avenue, C1B",+1 789 619 0726,stratford.east@rentalco.com
11,Lethbridge West and Central Airport,Lethbridge West and Central,"807 Autoroute Métropolitaine, T1J",+1 268 542 7944,lethbridge.west.and.central.airport@rentalco.com
12,San Miguel De La Ribera West,San Miguel De La Ribera,"54 Paseo de Gracia, 49717",+34 734 281 1445,san.miguel.de.la.ribera.west@rentalco.com
13,Santa Maria North,Santa Maria,"636 Via Tasso, 29022",+39 478 469 8093,santa.maria.north@rentalco.com
14,Spui Downtown,Spui,"295 Populierenlaan, 4539",+31 080 416 9128,spui.downtown@rentalco.com
15,Fresno South,Fresno,"345 Hillside Avenue, 93726",+1 571 695 4166,fresno.south@rentalco.com
16,Milwaukee Station,Milwaukee,"824 Village Lane, 53220",+1 425 596 6938,milwaukee.station@rentalco.com
17,Las Vegas Station,Las Vegas,"365 College Street, 89155",+1 918 640 3717,las.vegas.station@rentalco.com
18,Alsbach-Hähnlein Station,Alsbach-Hähnlein,"128 Karlsruher Straße, 64665",+49 753 924 7035,alsbach.h.hnlein.station@rentalco.com
19,Grünheide Kagel Central,Grünheide Kagel,"698 Münsterplatz, 15537",+49 760 023 0775,gr.nheide.kagel.central@rentalco.com
20,Magny-la-Campagne East,Magny-la-Campagne,"375 Boulevard Saint-Germain, 14270",+33 666 089 9520,magny.la.campagne.east@rentalco.com
21,Gamrie North,Gamrie,"863 Monks Road, AB45",+44 179 924 9415,gamrie.north@rentalco.com
22,Daylesford North,Daylesford,"748 Chapel Street, GL56",+44 453 338 1597,daylesford.north@rentalco.com
23,Mercier West Station,Mercier West,"52 Highway 401, H1M",+1 200 213 3958,mercier.west.station@rentalco.com
24,Plateau Mont-Royal West Central,Plateau Mont-Royal West,"388 Front Street, H2T",+1 725 353 6400,plateau.mont.royal.west.central@rentalco.com
25,Villarrin de Campos South,Villarrin de Campos,"385 Calle de Colón, 49137",+34 951 807 7391,villarrin.de.campos.south@rentalco.com
26,Olmedo Central,Olmedo,"203 Via Giolitti, 07040",+39 493 679 0230,olmedo.central@rentalco.com
27,Emst South,Emst,"59 Markt, 8166",+31 176 865 8265,emst.south@rentalco.com
28,Lafayette North,Lafayette,"454 Parkway Drive, 70593",+1 646 669 7629,lafayette.north@rentalco.com
29,Kansas City Downtown,Kansas City,"923 Catherine Street, 64149",+1 830 430 8405,kansas.city.downtown@rentalco.com
30,Las Vegas North,Las Vegas,"349 Massachusetts Avenue, 89135",+1 952 807 6265,las.vegas.north@rentalco.com
31,Minneapolis Station,Minneapolis,"589 Garfield Street, 55402",+1 504 358 3983,minneapolis.station@rentalco.com
32,Schöntal Airport,Schöntal,"324 Hafenstraße, 74214",+49 655 028 8156,sch.ntal.airport@rentalco.com
33,Kochel am See East,Kochel am See,"533 Kölner Straße, 82431",+49 662 073 1434,kochel.am.see.east@rentalco.com
34,Fétigny Downtown,Fétigny,"806 Rue de Belleville, 39240",+33 005 409 2966,f.tigny.downtown@rentalco.com
35,Edinburgh Downtown,Edinburgh,"409 Norfolk Road, EH2",+44 485 343 9508,edinburgh.downtown@rentalco.com
36,Hawkesbury Station,Hawkesbury,"947 School Lane, GL9",+44 457 115 8609,hawkesbury.station@rentalco.com
