id,car_id,policy_number,insurer_name,start_date,end_date,coverage_amount
1,1,POL-0000001-2024,Generali,2024-12-29,2025-12-29,77000
2,2,POL-0000002-2025,MAPFRE,2025-01-19,2026-01-19,34000
3,3,POL-0000003-2025,AXA,2025-03-02,2026-03-02,62000
4,4,POL-0000004-2025,Liberty Mutual,2025-05-28,2026-05-28,85000
5,5,POL-0000005-2025,Allianz,2025-05-04,2026-05-04,94000
6,6,POL-0000006-2025,Zurich,2025-01-02,2026-01-02,74000
7,7,POL-0000007-2025,Geico,2025-05-23,2026-05-23,56000
8,8,POL-0000008-2025,MAPFRE,2025-03-25,2026-03-25,38000
9,9,POL-0000009-2025,AXA,2025-06-15,2026-06-15,50000
10,10,POL-0000010-2025,Liberty Mutual,2025-06-23,2026-06-23,56000
11,11,POL-0000011-2025,Zurich,2025-04-04,2026-04-04,37000
12,12,POL-0000012-2025,Allianz,2025-05-14,2026-05-14,86000
13,13,POL-0000013-2025,Generali,2025-03-17,2026-03-17,40000
14,14,POL-0000014-2025,Allianz,2025-01-02,2026-01-02,36000
15,15,POL-0000015-2025,AXA,2025-05-01,2026-05-01,42000
16,16,POL-0000016-2025,Geico,2025-03-01,2026-03-01,99000
17,17,POL-0000017-2025,Zurich,2025-06-15,2026-06-15,86000
18,18,POL-0000018-2025,StateFarm,2025-06-12,2026-06-12,32000
19,19,POL-0000019-2025,Zurich,2025-01-05,2026-01-05,75000
20,20,POL-0000020-2025,Progressive,2025-04-03,2026-04-03,88000
21,21,POL-0000021-2025,Aviva,2025-04-09,2026-04-09,21000
22,22,POL-0000022-2025,Zurich,2025-03-14,2026-03-14,79000
23,23,POL-0000023-2025,Progressive,2025-01-04,2026-01-04,74000
24,24,POL-0000024-2025,MAPFRE,2025-05-03,2026-05-03,62000
25,25,POL-0000025-2025,Aviva,2025-04-05,2026-04-05,88000
26,26,POL-0000026-2025,StateFarm,2025-03-14,2026-03-14,77000
27,27,POL-0000027-2025,MAPFRE,2025-03-30,2026-03-30,67000
28,28,POL-0000028-2025,Progressive,2025-05-29,2026-05-29,46000
29,29,POL-0000029-2025,Zurich,2025-05-20,2026-05-20,21000
30,30,POL-0000030-2025,Zurich,2025-03-17,2026-03-17,57000
31,31,POL-0000031-2025,Liberty Mutual,2025-06-27,2026-06-27,21000
32,32,POL-0000032-2025,AXA,2025-02-27,2026-02-27,71000
33,33,POL-0000033-2025,Zurich,2025-06-08,2026-06-08,23000
34,34,POL-0000034-2025,MAPFRE,2025-06-28,2026-06-28,28000
35,35,POL-0000035-2025,Zurich,2025-02-07,2026-02-07,81000
36,36,POL-0000036-2025,Geico,2025-02-14,2026-02-14,76000
37,37,POL-0000037-2025,Generali,2025-06-12,2026-06-12,95000
38,38,POL-0000038-2025,StateFarm,2025-05-20,2026-05-20,45000
39,39,POL-0000039-2025,Progressive,2025-04-05,2026-04-05,94000
40,40,POL-0000040-2025,StateFarm,2025-05-12,2026-05-12,98000
41,41,POL-0000041-2025,Liberty Mutual,2025-03-11,2026-03-11,98000
42,42,POL-0000042-2025,Progressive,2025-05-02,2026-05-02,65000
43,43,POL-0000043-2025,Liberty Mutual,2025-02-01,2026-02-01,66000
44,44,POL-0000044-2025,AXA,2025-02-16,2026-02-16,31000
45,45,POL-0000045-2025,MAPFRE,2025-03-25,2026-03-25,79000
46,46,POL-0000046-2025,Liberty Mutual,2025-03-01,2026-03-01,97000
47,47,POL-0000047-2025,Generali,2025-02-12,2026-02-12,76000
48,48,POL-0000048-2025,Progressive,2025-01-05,2026-01-05,81000
49,49,POL-0000049-2025,Zurich,2025-06-17,2026-06-17,64000
50,50,POL-0000050-2025,Aviva,2025-05-09,2026-05-09,91000
51,51,POL-0000051-2025,Liberty Mutual,2025-06-14,2026-06-14,46000
52,52,POL-0000052-2025,Progressive,2025-04-08,2026-04-08,42000
53,53,POL-0000053-2025,Zurich,2025-03-04,2026-03-04,58000
54,54,POL-0000054-2025,Allianz,2025-05-11,2026-05-11,36000
55,55,POL-0000055-2025,StateFarm,2025-03-19,2026-03-19,65000
56,56,POL-0000056-2025,Progressive,2025-05-12,2026-05-12,44000
57,57,POL-0000057-2025,Progressive,2025-01-12,2026-01-12,64000
58,58,POL-0000058-2025,Geico,2025-04-26,2026-04-26,25000
59,59,POL-0000059-2025,Liberty Mutual,2025-02-21,2026-02-21,34000
60,60,POL-0000060-2025,Progressive,2025-03-10,2026-03-10,59000
61,61,POL-0000061-2025,Aviva,2025-04-11,2026-04-11,87000
62,62,POL-0000062-2025,StateFarm,2025-03-29,2026-03-29,70000
63,63,POL-0000063-2025,MAPFRE,2025-04-08,2026-04-08,70000
64,64,POL-0000064-2025,AXA,2025-02-13,2026-02-13,77000
65,65,POL-0000065-2025,AXA,2025-02-20,2026-02-20,45000
66,66,POL-0000066-2025,StateFarm,2025-04-23,2026-04-23,78000
67,67,POL-0000067-2025,Zurich,2025-05-16,2026-05-16,86000
68,68,POL-0000068-2025,StateFarm,2025-01-27,2026-01-27,30000
69,69,POL-0000069-2025,MAPFRE,2025-02-01,2026-02-01,95000
70,70,POL-0000070-2025,Generali,2025-04-12,2026-04-12,47000
71,71,POL-0000071-2025,MAPFRE,2025-03-01,2026-03-01,46000
72,72,POL-0000072-2025,MAPFRE,2025-01-17,2026-01-17,64000
73,73,POL-0000073-2025,Zurich,2025-01-29,2026-01-29,99000
74,74,POL-0000074-2025,Geico,2025-04-10,2026-04-10,37000
75,75,POL-0000075-2025,Allianz,2025-06-20,2026-06-20,75000
76,76,POL-0000076-2025,Progressive,2025-03-05,2026-03-05,92000
77,77,POL-0000077-2025,Aviva,2025-01-01,2026-01-01,35000
78,78,POL-0000078-2025,MAPFRE,2025-06-19,2026-06-19,40000
79,79,POL-0000079-2025,MAPFRE,2025-06-23,2026-06-23,69000
80,80,POL-0000080-2024,Liberty Mutual,2024-12-28,2025-12-28,58000
81,81,POL-0000081-2025,Generali,2025-05-26,2026-05-26,74000
82,82,POL-0000082-2025,Allianz,2025-04-20,2026-04-20,88000
83,83,POL-0000083-2025,Geico,2025-02-25,2026-02-25,27000
84,84,POL-0000084-2025,Liberty Mutual,2025-01-02,2026-01-02,45000
85,85,POL-0000085-2025,Aviva,2025-02-23,2026-02-23,39000
86,86,POL-0000086-2025,Allianz,2025-04-07,2026-04-07,99000
87,87,POL-0000087-2025,Generali,2025-06-13,2026-06-13,24000
88,88,POL-0000088-2025,Liberty Mutual,2025-03-18,2026-03-18,86000
89,89,POL-0000089-2025,StateFarm,2025-04-10,2026-04-10,64000
90,90,POL-0000090-2025,Aviva,2025-03-26,2026-03-26,60000
91,91,POL-0000091-2025,Allianz,2025-06-09,2026-06-09,83000
92,92,POL-0000092-2025,Liberty Mutual,2025-04-16,2026-04-16,40000
93,93,POL-0000093-2025,Generali,2025-06-28,2026-06-28,48000
94,94,POL-0000094-2025,Zurich,2025-02-02,2026-02-02,92000
