id,license_plate,vin,make,model,year,category_id,branch_id,color,mileage,status,created_at
1,RA000000,UU41ZGV9KW9RVM2UX,Renault,Trafic,2021,7,65,Black,69081,rented,2026-05-07 12:39:07
2,SP000001,D7T2RGU181SLYZ99G,Nissan,Rogue,2024,5,48,Beige,12158,retired,2024-05-02 12:39:07
3,GX000002,2ZDEPKYGX2BKBFBZB,Volkswagen,Transporter,2020,7,49,Green,91434,retired,2022-09-18 12:39:07
4,OU000003,7412KPBMDNGXJ7UPW,Audi,A5 Cabriolet,2024,8,5,Silver,32308,maintenance,2026-03-25 12:39:07
5,XN000004,2VAUFDPEUCP0BTMR8,Chrysler,300,2017,4,31,Red,174793,rented,2025-03-22 12:39:07
6,HL000005,VJWCZ5P2PWFRZ9TUD,Volkswagen,Passat,2017,3,31,Silver,38609,retired,2023-06-09 12:39:07
7,BB000006,0WC9G9R4X5DYX1W7C,Volkswagen,up!,2025,1,53,White,6291,rented,2022-05-24 12:39:07
8,FA000007,1KZFKKN0N6ASDAWAR,Fiat,500,2020,1,67,White,98088,available,2021-08-24 12:39:07
9,GG000008,LJDLSCSMY0Y01WG2N,BMW,Z4,2019,8,80,Green,109917,rented,2024-09-14 12:39:07
10,PK000009,S22PA1WR1M0KTNANV,Fiat,500,2024,1,14,Black,40948,available,2024-03-10 12:39:07
11,CI000010,RDCL0BNRP8TC0YPYC,Mazda,MX-5,2017,8,40,Beige,39187,rented,2024-08-14 12:39:07
12,RV000011,MEBEPE0EK6B5FBADW,Ford,Focus,2015,2,73,Beige,148473,available,2025-10-20 12:39:07
13,WB000012,GC4TBU7EPWPNEPABD,Toyota,Camry,2015,3,32,Gray,212949,available,2021-07-20 12:39:07
14,AQ000013,4VWUM3U8EG8CZ14UT,Mercedes-Benz,E-Class,2024,6,40,Silver,19570,maintenance,2024-09-19 12:39:07
15,CM000014,U01RPDEYEBEZSGT65,Audi,A6,2024,6,64,Gray,22427,rented,2023-03-02 12:39:07
16,RF000015,YZ1ZJWB809NJTH6G1,Volkswagen,Passat,2024,3,15,Black,38983,rented,2024-06-12 12:39:07
17,AV000016,VVFCV445UVS5G2B28,BMW,X5,2023,5,56,Silver,53814,rented,2023-02-08 12:39:07
18,JA000017,2M6CT6J1CULYDN25E,Mazda,MX-5,2017,8,65,Green,72449,available,2022-10-02 12:39:07
19,VP000018,6ULAZT4RCAME7VLU6,Honda,CR-V,2020,5,39,Silver,117433,available,2023-07-26 12:39:07
20,WM000019,FZKXLFJJ1A8ZRPYLY,Chrysler,300,2019,4,37,Silver,17003,available,2024-02-23 12:39:07
21,XB000020,4UGZF2KXL6AH8NB2J,Renault,Trafic,2017,7,58,Silver,89177,available,2025-01-09 12:39:07
22,DV000021,LWU4SCLNV7FK6VC5A,Audi,A6,2018,6,48,Blue,590,available,2023-12-24 12:39:07
23,FN000022,3N9T6HNZG45WVPDGF,Toyota,Avalon,2017,4,18,Green,156503,retired,2021-11-22 12:39:07
24,GW000023,BGWT94LEAU7MFAT4L,Ford,Taurus,2016,4,19,Green,179951,rented,2023-08-10 12:39:07
25,UZ000024,BSYYCVFJCUVRMS3N4,Jeep,Grand Cherokee,2024,5,25,Black,17548,rented,2025-07-21 12:39:07
26,SQ000025,JBP8CFE3J8E83FMKL,Renault,Trafic,2018,7,62,Green,21753,available,2022-12-02 12:39:07
27,MY000026,7JW692Y8F9X3T932V,Audi,A6,2021,6,31,Red,77712,retired,2025-02-06 12:39:07
28,QY000027,93W9TCMELH03G8CA7,Toyota,Yaris,2021,1,64,White,99028,maintenance,2025-03-17 12:39:07
29,AE000028,L0PWZVWL86R2U4BG4,Fiat,500,2022,1,71,White,60186,available,2025-03-10 12:39:07
30,JC000029,2K187VJB77R3P4DJJ,Ford,Focus,2021,2,65,Beige,21856,available,2024-01-25 12:39:07
31,IK000030,U93GAUY730W7Z9KEM,Ford,Focus,2017,2,2,Red,90130,retired,2023-07-22 12:39:07
32,BI000031,FGBFGT2GWC6NGPX38,Mercedes-Benz,Vito,2023,7,3,Red,19967,available,2025-04-04 12:39:07
33,XV000032,PKP8HUSXD44H7ULS9,Ford,Mondeo,2019,3,41,Silver,67419,available,2026-06-14 12:39:07
34,QU000033,5WMT15BRGA6XP740M,Toyota,Corolla,2025,2,43,Black,17610,available,2023-01-13 12:39:07
35,AO000034,YHHGK0SPL2U918PCY,Mazda,3,2024,2,29,Gray,20163,available,2022-02-08 12:39:07
36,IJ000035,KS7J3XGZNP2C91LAZ,Fiat,500,2024,1,62,Blue,11538,maintenance,2022-01-13 12:39:07
37,ZS000036,NGA33PE20HACY8FVF,Ford,Mustang Convertible,2015,8,22,Blue,94715,available,2026-01-04 12:39:07
38,RY000037,RV4ELNHAULUNR75DZ,BMW,Z4,2020,8,59,Silver,80202,maintenance,2024-04-18 12:39:07
39,GR000038,BXK5258SVNWVGZVEN,Mercedes-Benz,E-Class,2020,6,77,Red,86785,rented,2023-01-28 12:39:07
