id,car_id,service_date,description,cost,odometer_reading
1,5065,2026-02-08,Transmission fluid flush,178.91,42583
2,13517,2024-07-22,Suspension repair,159.99,60881
3,8623,2024-05-14,Headlight replacement,921.5,6012
4,6081,2023-02-19,Engine diagnostic and tune-up,603.08,844
5,4003,2024-05-18,Brake pad replacement,164.35,10019
6,13156,2026-02-19,Full detailing and cleaning,288.1,27765
7,8775,2024-07-18,Tire rotation and balancing,503.84,22118
8,3137,2024-01-05,Wheel alignment,287.49,72206
9,6256,2022-07-12,Headlight replacement,88.33,6000
10,9073,2023-11-22,Brake pad replacement,155.39,5055
11,7725,2023-06-21,Headlight replacement,145.02,34565
12,9235,2024-03-04,Brake pad replacement,667.39,24677
13,11306,2025-08-26,Battery replacement,493.16,364
14,9947,2025-01-24,Battery replacement,962.42,36648
15,10458,2024-01-02,Windshield wiper replacement,390.36,112117
16,10695,2026-05-15,Wheel alignment,647.6,4433
17,9549,2025-12-02,Brake pad replacement,486.52,2421
18,6693,2024-07-05,Transmission fluid flush,902.29,14261
19,2350,2025-08-13,Annual safety inspection,687.96,9137
20,953,2023-07-27,Wheel alignment,641.36,10587
21,2358,2025-01-18,Spark plug replacement,228.14,29945
22,1306,2022-11-20,Air conditioning service,968.24,34242
23,14257,2025-06-26,Suspension repair,73.27,69165
24,9163,2025-01-19,Battery replacement,972.62,6193
25,114,2024-05-31,Annual safety inspection,137.7,50400
26,1644,2026-03-21,Wheel alignment,680.05,11038
27,12899,2024-03-31,Coolant system flush,50.03,57382
28,1178,2024-01-14,Annual safety inspection,52.62,126880
29,773,2024-12-06,Full detailing and cleaning,246.19,72191
30,8349,2025-07-28,Battery replacement,658.72,23629
31,1427,2026-02-25,Coolant system flush,652.24,315
32,2112,2026-03-05,Windshield wiper replacement,178.77,47311
33,2690,2024-03-18,Brake pad replacement,716.86,7071
34,13137,2025-11-12,Coolant system flush,191.43,40356
35,1821,2023-04-02,Air conditioning service,97.3,13925
36,11557,2024-05-15,Headlight replacement,705.5,20002
37,13193,2024-02-14,Suspension repair,101.49,162075
38,809,2026-01-21,Coolant system flush,706.22,3498
39,11064,2025-04-12,Brake pad replacement,755.13,739
40,14345,2023-10-17,Suspension repair,385.66,36113
41,5635,2022-09-01,Annual safety inspection,588.66,90136
42,1432,2023-09-19,Transmission fluid flush,871.41,16806
43,14642,2026-01-28,Brake pad replacement,872.5,38148
44,7617,2026-06-22,Tire rotation and balancing,526.24,27455
45,11923,2023-04-05,Full detailing and cleaning,101.08,9347
46,4373,2024-01-24,Battery replacement,339.94,388
47,7371,2025-12-18,Wheel alignment,709.6,81066
48,9649,2026-01-11,Brake pad replacement,653.46,2715
49,226,2025-04-15,Coolant system flush,803.02,5338
50,930,2024-03-08,Coolant system flush,758.53,74133
51,10082,2026-03-11,Transmission fluid flush,717.62,264
52,10725,2023-10-26,Annual safety inspection,50.25,13231
53,9259,2026-01-22,Full detailing and cleaning,103.56,371
54,3934,2023-03-16,Engine diagnostic and tune-up,340.71,32866
55,553,2026-03-03,Suspension repair,525.88,19831
56,9525,2025-06-24,Spark plug replacement,78.19,430
57,10409,2023-01-22,Engine diagnostic and tune-up,935.15,11397
58,11326,2025-11-30,Tire rotation and balancing,599.28,38946
59,11717,2023-02-20,Routine oil and filter change,980.85,42615
60,13764,2025-09-29,Windshield wiper replacement,945.88,55102
61,11746,2024-01-05,Routine oil and filter change,820.16,219
62,6286,2026-05-20,Spark plug replacement,124.42,5778
63,12911,2025-07-15,Transmission fluid flush,624.8,41797
64,11315,2023-12-19,Windshield wiper replacement,63.92,5277
65,13390,2024-02-06,Annual safety inspection,997.38,8611
66,4766,2023-01-31,Brake pad replacement,79.6,10312
67,9651,2026-02-10,Coolant system flush,559.65,2503
68,2694,2022-09-04,Wheel alignment,984.41,166378
69,3005,2024-01-25,Full detailing and cleaning,477.41,45837
70,346,2022-12-29,Air conditioning service,991.86,42577
71,868,2024-03-24,Air conditioning service,454.77,30077
72,4211,2024-06-10,Brake pad replacement,702.65,20054
73,1205,2022-11-09,Spark plug replacement,910.06,28216
74,14205,2025-03-13,Transmission fluid flush,626.36,8832
75,6832,2025-06-03,Windshield wiper replacement,51.47,17516
76,12857,2025-09-10,Full detailing and cleaning,338.39,9757
77,5799,2025-12-20,Wheel alignment,618.75,14067
78,8026,2026-02-21,Battery replacement,174.47,25795
79,5214,2025-11-06,Battery replacement,237.17,45914
80,6418,2025-08-25,Battery replacement,578.16,4779
81,1708,2023-09-06,Wheel alignment,920.32,19774
82,6557,2024-06-25,Suspension repair,665.32,1073
83,8690,2024-11-12,Tire rotation and balancing,87.38,1831
84,5100,2022-07-09,Suspension repair,442.06,21246
85,6991,2023-06-28,Coolant system flush,412.14,3701
86,7759,2024-07-30,Headlight replacement,967.26,88446
87,14151,2023-07-19,Annual safety inspection,417,2195
88,5464,2023-10-18,Transmission fluid flush,82.17,24235
89,13558,2023-08-06,Engine diagnostic and tune-up,792.83,71114
90,7770,2024-03-05,Air conditioning service,58.43,25135
91,3446,2026-06-10,Engine diagnostic and tune-up,297.57,9310
92,13986,2023-09-09,Coolant system flush,867.57,58729
93,1946,2022-11-15,Air conditioning service,442.88,26009
94,7501,2022-12-05,Tire rotation and balancing,148.2,68586
95,3240,2026-06-02,Windshield wiper replacement,390.87,40774
96,4217,2025-02-09,Routine oil and filter change,56.42,11967
97,14326,2024-10-01,Headlight replacement,348.84,83964
98,13911,2022-12-21,Routine oil and filter change,180.8,12719
99,3767,2022-11-18,Battery replacement,780.46,118486
100,2987,2026-06-04,Full detailing and cleaning,271.22,11959
101,12899,2026-06-02,Tire rotation and balancing,929.96,37232
102,70,2024-01-20,Coolant system flush,808.03,8901
103,12753,2023-08-05,Air conditioning service,228.77,4075
104,1207,2025-07-15,Headlight replacement,316.77,2755
105,416,2025-09-30,Windshield wiper replacement,777.59,110286
106,6789,2022-12-25,Spark plug replacement,483.72,1815
107,710,2024-09-30,Full detailing and cleaning,689.52,60040
108,14374,2025-02-24,Annual safety inspection,731.67,6746
109,13096,2025-10-08,Suspension repair,48.36,1191
110,4664,2026-06-15,Engine diagnostic and tune-up,415.89,115027
111,9589,2023-02-05,Air conditioning service,795.55,59301
112,1669,2025-08-24,Brake pad replacement,892.95,15557
113,14372,2024-07-24,Spark plug replacement,776.96,83914
114,9348,2025-01-11,Spark plug replacement,837.22,88153
115,3808,2025-07-02,Full detailing and cleaning,201.07,25803
116,4828,2023-11-11,Brake pad replacement,771.67,13075
117,4876,2023-04-12,Windshield wiper replacement,550.39,112858
118,9442,2024-05-22,Air conditioning service,618.99,80332
119,1185,2025-01-18,Windshield wiper replacement,377.75,48536
120,13327,2022-11-24,Spark plug replacement,889.1,32426
121,5766,2023-02-06,Suspension repair,770.82,27612
122,11913,2023-07-07,Suspension repair,983.38,15172
123,12261,2026-05-23,Headlight replacement,807.49,11936
124,334,2026-01-12,Suspension repair,281.42,77467
125,5464,2025-12-14,Wheel alignment,961.98,17231
126,3921,2023-09-23,Tire rotation and balancing,627.54,8839
127,8877,2023-02-12,Suspension repair,838.25,65008
128,2862,2023-07-01,Routine oil and filter change,867.44,80359
