rental_id,service_id,quantity
1,2,1
1,8,2
1,12,2
4,5,2
4,12,2
5,7,1
5,12,1
5,1,1
7,12,2
7,8,1
10,7,1
10,8,2
10,12,2
11,4,2
12,5,1
14,6,2
15,11,1
15,6,2
15,3,2
19,8,1
19,11,1
24,7,1
26,8,1
31,3,1
31,5,2
31,4,2
37,7,1
41,4,2
41,12,2
46,3,2
46,9,1
47,2,2
49,4,2
51,2,2
51,6,1
51,7,1
52,10,2
52,7,1
53,5,2
53,9,1
61,6,1
61,9,2
62,10,1
62,7,1
63,12,1
66,2,2
66,7,2
70,12,1
70,10,1
72,6,1
72,9,2
75,4,1
75,6,1
75,7,2
76,3,2
77,12,2
77,6,2
77,5,1
82,12,2
82,10,1
85,9,2
85,2,2
87,12,1
91,2,2
97,5,1
97,12,2
97,8,1
101,6,2
101,10,1
101,1,2
106,9,2
106,2,2
107,4,2
107,9,1
113,5,2
114,1,2
115,2,1
117,6,1
118,9,1
118,7,2
121,3,1
124,7,1
127,11,1
127,5,1
135,2,1
135,5,1
137,12,1
137,3,2
137,7,1
140,12,2
140,5,1
140,9,1
143,3,1
143,1,1
143,11,2
144,12,1
150,11,2
152,3,2
152,8,1
162,8,2
162,11,2
162,6,2
163,8,2
164,9,1
166,7,1
170,3,1
170,1,2
174,2,1
175,12,2
175,2,2
181,11,2
181,4,2
181,9,2
184,5,2
184,2,2
190,12,1
190,8,2
191,11,1
191,4,1
195,2,1
195,7,1
200,7,2
200,3,1
200,4,2
204,10,2
204,9,1
204,11,1
205,11,1
208,10,2
208,1,1
208,2,1
212,1,1
212,3,2
214,8,1
214,2,1
214,7,2
217,1,2
217,3,2
224,7,2
224,3,1
224,8,1
225,7,1
225,8,2
225,9,1
226,9,1
228,3,1
229,3,1
229,4,2
231,3,2
236,1,1
236,10,1
236,2,2
237,11,2
237,6,1
241,8,2
241,1,2
243,3,1
244,4,2
247,5,2
247,4,2
247,1,2
249,12,1
249,6,2
250,1,1
250,3,2
251,9,2
251,10,1
251,11,2
259,5,2
259,8,2
260,3,1
260,9,1
260,2,2
261,10,2
